free sulfur dioxide,total sulfur dioxide,quality
29.0,75.0,1
29.0,75.0,1
41.0,122.0,1
63.0,206.0,0
30.0,96.0,1
30.0,96.0,1
4.0,83.0,0
8.0,103.0,0
15.0,97.0,0
43.0,119.0,1
43.0,119.0,1
4.0,100.0,0
19.0,65.0,0
9.0,108.0,0
26.0,109.0,1
54.0,210.0,0
36.0,114.0,0
20.0,124.0,0
26.0,142.0,0
40.0,199.0,0
41.0,197.0,0
5.0,109.0,0
45.0,147.0,1
3.0,75.0,0
14.0,67.0,0
22.0,112.0,1
36.0,114.0,1
46.0,201.0,0
34.0,182.0,0
35.0,164.0,1
34.0,101.0,1
16.0,151.0,0
31.0,104.0,1
49.0,186.0,1
54.0,126.0,1
16.0,66.0,0
70.0,189.0,0
70.0,189.0,0
3.0,29.0,0
10.0,175.0,0
31.0,115.0,1
29.0,119.0,1
49.0,130.0,1
22.0,177.0,0
34.0,189.0,0
7.0,151.0,0
122.5,234.5,0
23.0,188.0,0
46.0,150.0,1
22.0,193.0,0
25.0,136.0,0
20.0,84.0,0
29.0,89.0,1
5.0,19.0,0
28.0,124.0,1
43.0,145.0,1
7.0,55.0,0
43.0,145.0,1
14.0,75.0,1
24.0,85.0,1
27.0,139.0,1
34.0,161.0,0
34.0,108.0,1
34.0,108.0,1
30.0,177.0,1
30.0,177.0,1
30.0,177.0,1
29.0,118.0,1
29.0,118.0,1
38.0,103.0,1
41.0,143.0,1
5.0,33.0,0
57.0,119.0,1
18.0,111.0,1
49.0,159.0,1
9.0,101.0,0
8.0,72.0,0
30.0,124.0,1
23.0,159.0,0
11.5,88.0,0
50.0,152.0,1
10.0,57.0,0
7.0,69.0,0
9.0,62.0,0
54.0,188.0,1
13.0,60.0,0
50.0,245.0,0
33.0,227.0,0
17.0,138.0,0
18.0,104.0,0
17.0,119.0,0
48.0,166.0,0
21.0,128.0,1
39.0,123.0,1
25.0,97.0,1
21.0,128.0,1
18.0,151.0,0
5.0,26.0,0
33.0,96.0,1
70.0,178.0,1
70.0,170.0,1
24.0,79.0,0
37.0,171.0,0
26.0,172.0,0
40.0,104.0,1
17.0,93.0,1
25.0,126.0,1
17.0,93.0,1
18.0,96.0,0
62.0,233.0,0
36.0,116.0,1
50.0,151.0,1
10.0,102.0,0
10.0,102.0,0
34.0,105.0,1
62.0,180.0,1
38.0,161.0,1
51.0,165.0,1
36.0,113.0,1
38.0,161.0,1
15.0,61.0,0
35.0,103.0,1
15.0,96.0,0
31.0,122.0,1
29.0,128.0,1
9.0,117.0,0
12.0,90.0,1
26.0,155.0,1
35.5,366.5,0
29.0,137.0,0
36.0,225.0,0
8.0,119.0,0
46.0,151.0,1
13.0,85.0,0
13.0,85.0,0
8.0,134.0,0
39.0,180.0,1
42.0,186.0,1
24.0,126.0,1
29.0,86.0,0
12.0,115.0,0
14.0,56.0,0
23.0,108.0,0
17.0,128.0,0
50.0,191.0,0
31.0,113.0,1
31.0,128.0,1
28.0,111.0,1
39.0,166.0,0
29.0,118.0,0
32.0,177.0,0
48.0,114.0,1
118.5,216.0,0
7.0,175.0,0
6.0,114.0,0
25.0,161.0,0
43.0,148.0,1
28.0,178.0,0
43.0,148.0,1
4.0,55.0,0
43.0,150.0,1
43.0,150.0,1
13.0,200.0,0
37.0,128.0,1
46.0,114.0,0
34.0,181.0,0
6.0,106.0,0
146.5,307.5,0
34.0,185.0,0
53.0,212.5,1
53.0,212.5,1
53.0,212.5,1
53.0,212.5,1
53.0,212.5,1
5.0,110.0,0
53.0,212.5,1
15.0,123.0,0
17.0,117.0,0
19.0,68.0,0
14.0,122.0,0
34.0,187.0,0
9.0,76.0,0
6.0,61.0,0
32.0,166.0,0
37.0,162.0,0
37.0,162.0,0
47.0,178.0,0
23.0,109.0,1
58.0,164.0,0
64.0,106.0,1
61.0,180.0,0
27.0,95.0,1
58.0,179.0,0
5.0,85.0,0
5.0,57.0,0
21.0,191.0,0
21.0,196.0,0
14.0,107.0,1
14.0,107.0,1
24.0,189.0,0
24.0,186.0,0
7.0,106.0,0
28.0,83.0,1
34.0,130.0,1
16.0,104.0,0
18.0,107.0,0
23.0,111.0,0
50.0,212.0,0
23.0,111.0,0
28.0,195.0,0
9.0,148.0,0
20.0,139.0,0
20.0,139.0,0
11.0,119.0,0
11.0,119.0,0
32.0,162.0,1
32.0,162.0,1
8.0,178.0,0
8.0,178.0,0
25.0,154.0,0
60.0,196.0,0
15.0,86.0,1
96.0,170.0,1
96.0,170.0,1
15.0,70.0,1
37.0,131.0,1
37.0,131.0,1
35.0,135.0,1
15.0,83.0,1
16.0,99.0,1
15.0,83.0,1
69.0,148.0,0
39.0,96.0,1
38.0,95.0,1
5.0,25.0,0
64.0,138.0,1
13.0,92.0,0
44.0,137.0,1
13.0,59.0,1
81.0,147.0,1
13.0,59.0,1
3.0,89.0,0
41.0,98.0,1
41.0,98.0,1
41.0,98.0,1
39.0,150.0,1
31.0,119.0,1
32.0,111.0,1
33.0,121.0,1
6.0,88.0,0
22.0,142.0,1
22.0,142.0,1
138.5,272.0,0
30.0,110.0,1
29.0,142.0,0
6.0,76.0,1
30.0,110.0,1
38.0,201.0,0
31.0,203.0,0
34.0,116.0,1
39.0,124.0,1
37.0,125.0,1
31.0,106.0,0
10.0,70.0,0
42.0,123.0,1
8.0,111.0,0
31.0,105.0,1
37.0,100.0,1
36.0,92.0,1
64.0,157.0,0
32.0,99.0,0
29.0,154.0,1
21.0,73.0,1
21.0,73.0,1
124.0,208.0,0
56.0,140.0,1
56.0,140.0,1
37.0,113.0,1
24.0,111.0,0
18.0,76.0,0
28.0,81.0,1
22.0,105.0,1
59.0,128.0,1
59.0,128.0,1
105.0,179.0,1
27.0,93.0,1
105.0,179.0,1
37.0,97.0,1
19.0,86.0,1
37.0,97.0,1
20.0,102.0,1
19.0,86.0,1
7.0,81.0,1
19.0,50.0,0
5.0,34.0,0
8.0,31.0,0
5.0,124.0,0
6.0,122.0,0
49.0,128.0,1
34.0,128.0,1
46.0,115.0,1
11.0,76.0,0
54.0,155.0,1
34.0,128.0,1
46.0,115.0,1
26.0,74.0,1
37.0,122.0,1
37.0,122.0,1
34.0,95.0,0
18.0,88.0,0
29.0,130.0,1
29.0,130.0,1
15.0,143.0,0
42.0,162.0,0
63.0,193.0,0
25.0,65.0,0
4.0,10.0,0
43.0,116.0,1
28.0,67.0,0
18.0,102.0,0
35.0,200.0,0
35.0,200.0,0
6.0,91.0,0
8.0,109.0,0
32.0,110.0,1
15.0,82.0,0
20.0,96.0,1
19.0,143.0,1
39.0,118.0,1
24.0,87.0,1
13.0,164.0,0
5.0,69.0,0
27.0,113.0,0
27.0,113.0,0
6.0,51.0,0
11.0,74.0,0
5.0,47.0,0
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
45.0,155.0,1
15.0,96.0,1
45.0,155.0,1
30.0,111.0,0
7.0,108.0,0
75.0,129.0,0
8.0,50.0,0
25.0,133.0,0
25.0,133.0,0
289.0,440.0,0
18.0,96.0,1
28.0,138.0,1
6.0,132.0,0
30.0,95.0,0
31.0,127.0,1
29.0,118.0,1
24.0,125.0,1
9.0,65.0,0
10.0,44.0,0
6.0,81.0,0
